31
30
KIPLING,ISLINGTON
ISLINGTON,ROYAL YORK
ROYAL YORK,OLD MILL
OLD MILL,JANE
JANE,RUNNYMEDE
RUNNYMEDE,HIGH PARK
HIGH PARK,KEELE
KEELE,DUNDAS WEST
DUNDAS WEST,LANDSDOWNE
LANDSDOWNE,DUFFERIN
DUFFERIN,OSSINGTON
OSSINGTON,CHRISTIE
CHRISTIE,BATHURST
BATHURST,SPADINA BD
SPADINA BD,ST GEORGE BD
ST GEORGE BD,BAY
BAY,YONGE
YONGE,SHERBOURNE
SHERBOURNE,CASTLE FRANK
CASTLE FRANK,BROADVIEW
BROADVIEW,CHESTER
CHESTER,PAPE
PAPE,DONLANDS
DONLANDS,GREENWOOD
GREENWOOD,COXWELL
COXWELL,WOODBINE
WOODBINE,MAIN STREET
MAIN STREET,VICTORIA PARK
VICTORIA PARK,WARDEN
WARDEN,KENNEDY
